Team,Player #,Pos,Player,Player abbrev,GP,G,A,EV G,EV A,SOG,G/GP,A/GP,EV G/GP,EV A/GP,SOG/GP,EV +,EV -,EV GF %
Charlotte Checkers,15,C,A.J. Jenks,A. Jenks,27,2,4,2,4,40,0.07,0.15,0.07,0.15,1.48,7,12,0.37
Worcester Sharks,29,G,Aaron Dell,A. Dell,5,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Binghamton Senators,72,D,Aaron Johnson,A. Johnson,34,1,12,1,8,51,0.03,0.35,0.03,0.24,1.50,29,21,0.58
Bridgeport Sound Tigers,27,D,Aaron Ness,A. Ness,32,4,17,4,8,54,0.13,0.53,0.13,0.25,1.69,21,12,0.64
Norfolk Admirals,29,D,Aaron Rome,A. Rome,2,0,0,0,0,1,0.00,0.00,0.00,0.00,0.50,2,0,1.00
Hershey Bears,26,LW,Aaron Volpatti,A. Volpatti,3,0,0,0,0,8,0.00,0.00,0.00,0.00,2.67,0,0,-
Worcester Sharks,37,RW,Adam Burish,A. Burish,15,4,3,4,3,24,0.27,0.20,0.27,0.20,1.60,6,5,0.55
Rockford IceHogs,2,D,Adam Clendening,A. Clendening,30,1,9,1,6,74,0.03,0.30,0.03,0.20,2.47,17,17,0.50
Lehigh Valley Phantoms,27,D,Adam Comrie,A. Comrie,4,0,0,0,0,7,0.00,0.00,0.00,0.00,1.75,1,3,0.25
Albany Devils,5,D,Adam Larsson,A. Larsson,1,0,2,0,0,1,0.00,2.00,0.00,0.00,1.00,0,0,-
Providence Bruins,31,G,Adam Morrison,A. Morrison,1,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0,0,-
Wilkes-Barre/Scranton Penguins,28,C,Adam Payerl,A. Payerl,22,1,4,1,3,30,0.05,0.18,0.05,0.14,1.36,6,5,0.55
Bridgeport Sound Tigers,4,D,Adam Pelech,A. Pelech,23,0,4,0,3,12,0.00,0.17,0.00,0.13,0.52,11,12,0.48
Rochester Americans,16,RW,Akim Aliu,A. Aliu,10,3,1,3,1,13,0.30,0.10,0.30,0.10,1.30,6,8,0.43
Bridgeport Sound Tigers,22,C,Alan Quine,A. Quine,33,8,19,4,8,58,0.24,0.58,0.12,0.24,1.76,15,18,0.45
Grand Rapids Griffins,32,C,Alden Hirschfeld,A. Hirschfeld,4,0,1,0,1,4,0.00,0.25,0.00,0.25,1.00,1,1,0.50
Charlotte Checkers,17,RW,Alex Aleardi,A. Aleardi,15,4,4,3,2,31,0.27,0.27,0.20,0.13,2.07,4,6,0.40
Utica Comets,3,D,Alex Biega,A. Biega,30,3,11,2,8,58,0.10,0.37,0.07,0.27,1.93,21,16,0.57
Wilkes-Barre/Scranton Penguins,7,D,Alex Boak,A. Boak,17,1,2,1,2,19,0.06,0.12,0.06,0.12,1.12,8,5,0.62
Rockford IceHogs,25,C,Alex Broadhurst,A. Broadhurst,15,0,2,0,2,15,0.00,0.13,0.00,0.13,1.00,4,2,0.67
Utica Comets,8,C,Alex Friesen,A. Friesen,20,4,5,3,5,32,0.20,0.25,0.15,0.25,1.60,14,3,0.82
Binghamton Senators,20,D,Alex Grant,A. Grant,34,5,15,1,11,55,0.15,0.44,0.03,0.32,1.62,22,29,0.43
Iowa Wild,24,D,Alex Gudbranson,A. Gudbranson,32,1,3,1,3,18,0.03,0.09,0.03,0.09,0.56,13,19,0.41
Binghamton Senators,27,LW,Alex Guptill,A. Guptill,22,3,3,3,3,28,0.14,0.14,0.14,0.14,1.27,10,7,0.59
Norfolk Admirals,27,LW,Alex Krushelnyski,A. Krushelnyski,3,0,0,0,0,6,0.00,0.00,0.00,0.00,2.00,0,2,0.00
San Antonio Rampage,3,D,Alex Petrovic,A. Petrovic,33,3,13,2,6,55,0.09,0.39,0.06,0.18,1.67,22,23,0.49
Providence Bruins,16,RW,Alexander Fallstrom,A. Fallstrom,4,1,0,1,0,6,0.25,0.00,0.25,0.00,1.50,1,0,1.00
Providence Bruins,13,C,Alexander Khokhlachev,A. Khokhlachev,27,7,18,4,13,79,0.26,0.67,0.15,0.48,2.93,20,15,0.57
Springfield Falcons,34,C,Alexander Wennberg,A. Wennberg,6,0,3,0,3,7,0.00,0.50,0.00,0.50,1.17,5,1,0.83
Portland Pirates,49,C,Alexandre Bolduc,A. Bolduc,28,10,11,6,9,61,0.36,0.39,0.21,0.32,2.18,15,12,0.56
